headline,time,roberta_neg,roberta_neu,roberta_pos,compound,label
"Sam Bankman-Fried, Bitcoin's &amp; Freedom's greatest enemy",1665402834,0.5730845332145691,0.4068605601787567,0.02005498670041561,-0.9461335597689977,-1
Samourai - Stonewall Query,1666034329,0.06426491588354111,0.8946878910064697,0.04104704037308693,-0.5691858805865451,-1
"Science, Health and Bitcoin with Sam Abbassi — What Bitcoin Did",1666173982,0.008956861682236195,0.8513003587722778,0.13974271714687347,0.07950812876263222,1
Samourai wallet - all remaining balance disappeared/spend on fees?,1666607582,0.29407545924186707,0.6856358647346497,0.02028881013393402,-0.9151724154083566,-1
Sam (Swan Bitcoin) on potential Bitcoin regulation; why DCA; self-custody; and the upcoming bull market,1666965673,0.006456651259213686,0.8258553147315979,0.16768820583820343,0.13061184459719105,1
CryptoSlate Wrapped Daily: Vitalik deems crypto better than gold; SBF hints at creating FTX-backed stablecoin,1666908657,0.008422578684985638,0.5115782618522644,0.479999303817749,0.462754824247845,1
First McDonald’s in El Salvador. Now McDonald’s in Lugano. Which McD’s will we bring #Bitcoin to next Paolo Ardoino? 🇸🇻🇨🇭🍊🍔 - Samson Mow,1666961842,0.026010826230049133,0.8209280967712402,0.1530611217021942,0.007807590796114705,1
"IMF and CCP, Same Fight to Create a Society of Mass Surveillance. Bitcoin Is More Necessary Than Ever. The IMF praises the merits of Chinese social credit which could be implemented in the West thanks to CBDCs.",1666814123,0.009398825466632843,0.25575393438339233,0.7348472476005554,0.7222185943891395,1
My chinese food tonight had a fortune cookie that was made by FTX,1667011517,0.006497988943010569,0.6371750235557556,0.35632702708244324,0.33841759591071924,1
My Chinese food had a fortune cookie that was made by FTX,1667011696,0.023242225870490074,0.8130578398704529,0.16369999945163727,0.03937156623794334,1
"FTX just quietly updated their staking/earn program rewards, for the worse.",1667300100,0.8976027369499207,0.09575530886650085,0.006642005406320095,-0.9860126883411736,-1
Public Service Announcement: get your money out of FTX immediately.,1667742879,0.7570673823356628,0.23138336837291718,0.011549348011612892,-0.9734246314520224,-1
What's going on with all the FUD about FTX? This video explains it.,1667839605,0.49603238701820374,0.4656778872013092,0.03828975185751915,-0.8900498678899552,-1
